,Overall,Potential,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,Name,Age,Nationality,PreferredPositions
888,78,78,77.0,48.0,75.0,77.0,85.0,80.0,78.0,86.0,83.0,60.0,86.0,3.0,3.0,5.0,5.0,3.0,72.0,44.0,83.0,82.0,80.0,44.0,76.0,74.0,72.0,80.0,84.0,48.0,76.0,72.0,48.0,69.0,81.0,72.0,K. Honda,31,Japan,CAM RW
889,78,79,55.0,85.0,55.0,65.0,71.0,68.0,49.0,34.0,25.0,36.0,65.0,10.0,16.0,9.0,12.0,10.0,79.0,72.0,75.0,56.0,41.0,78.0,46.0,39.0,61.0,75.0,72.0,81.0,51.0,44.0,83.0,76.0,46.0,44.0,Raúl Navas,29,Spain,CB
890,78,78,66.0,75.0,50.0,32.0,78.0,70.0,61.0,65.0,71.0,77.0,60.0,15.0,12.0,11.0,11.0,8.0,88.0,30.0,60.0,55.0,66.0,25.0,77.0,81.0,76.0,71.0,79.0,19.0,65.0,83.0,15.0,93.0,73.0,72.0,A. Dzyuba,28,Russia,ST
891,78,78,83.0,85.0,72.0,48.0,62.0,65.0,68.0,66.0,69.0,82.0,75.0,14.0,15.0,11.0,8.0,12.0,72.0,33.0,66.0,60.0,73.0,20.0,79.0,86.0,81.0,66.0,85.0,26.0,81.0,67.0,29.0,77.0,62.0,77.0,B. Yılmaz,31,Turkey,ST
892,78,78,78.0,89.0,74.0,75.0,75.0,77.0,79.0,69.0,73.0,57.0,71.0,15.0,13.0,13.0,14.0,16.0,74.0,68.0,74.0,69.0,78.0,78.0,57.0,69.0,71.0,73.0,85.0,80.0,81.0,82.0,79.0,79.0,54.0,50.0,J. Holebas,33,Greece,LWB LB
893,78,81,44.0,33.0,50.0,43.0,23.0,50.0,15.0,20.0,14.0,15.0,13.0,80.0,69.0,74.0,75.0,82.0,14.0,16.0,58.0,37.0,18.0,12.0,20.0,15.0,78.0,35.0,21.0,17.0,46.0,44.0,19.0,72.0,38.0,13.0,K. Casteels,25,Belgium,GK
894,78,78,64.0,86.0,62.0,55.0,74.0,80.0,47.0,55.0,66.0,59.0,44.0,14.0,6.0,8.0,14.0,16.0,86.0,78.0,90.0,74.0,54.0,78.0,61.0,62.0,73.0,82.0,82.0,73.0,66.0,77.0,75.0,80.0,63.0,59.0,Javi García,30,Spain,CDM
895,78,78,78.0,59.0,78.0,76.0,79.0,74.0,76.0,78.0,81.0,69.0,61.0,12.0,10.0,13.0,6.0,14.0,56.0,52.0,76.0,63.0,70.0,42.0,79.0,76.0,78.0,77.0,78.0,41.0,78.0,76.0,53.0,68.0,76.0,68.0,D. Caligiuri,29,Italy,RW LM RM
896,78,80,33.0,77.0,55.0,41.0,68.0,69.0,60.0,58.0,58.0,45.0,52.0,16.0,14.0,11.0,16.0,9.0,73.0,81.0,50.0,77.0,47.0,78.0,52.0,43.0,77.0,76.0,58.0,78.0,30.0,31.0,82.0,83.0,56.0,46.0,Fontàs,27,Spain,CB
897,78,78,64.0,35.0,64.0,57.0,39.0,66.0,13.0,16.0,23.0,13.0,13.0,81.0,70.0,70.0,78.0,82.0,16.0,25.0,80.0,33.0,13.0,15.0,30.0,19.0,75.0,49.0,24.0,14.0,55.0,42.0,16.0,59.0,65.0,11.0,K. Vermeer,31,Netherlands,GK
898,78,79,86.0,58.0,84.0,82.0,76.0,75.0,80.0,81.0,76.0,75.0,76.0,11.0,16.0,13.0,13.0,9.0,44.0,52.0,34.0,73.0,73.0,37.0,61.0,76.0,73.0,74.0,68.0,46.0,83.0,77.0,51.0,66.0,77.0,56.0,Jony,25,Spain,RM LM
899,78,80,73.0,72.0,76.0,66.0,76.0,74.0,64.0,72.0,74.0,78.0,73.0,12.0,14.0,12.0,12.0,9.0,82.0,31.0,81.0,60.0,,13.0,82.0,80.0,78.0,70.0,80.0,15.0,73.0,,34.0,80.0,61.0,76.0,C. Tosun,26,Turkey,ST
900,78,78,61.0,79.0,62.0,61.0,77.0,79.0,75.0,72.0,74.0,65.0,61.0,6.0,14.0,16.0,10.0,14.0,67.0,81.0,77.0,75.0,75.0,79.0,74.0,70.0,81.0,80.0,80.0,75.0,54.0,86.0,78.0,78.0,77.0,73.0,M. Höger,27,Germany,CDM CM
901,78,78,44.0,73.0,49.0,54.0,63.0,71.0,30.0,30.0,38.0,40.0,29.0,6.0,10.0,15.0,7.0,9.0,85.0,80.0,69.0,65.0,32.0,77.0,30.0,36.0,77.0,63.0,52.0,78.0,45.0,73.0,78.0,82.0,55.0,29.0,S. Dann,30,England,CB
902,78,83,91.0,40.0,91.0,85.0,80.0,77.0,73.0,75.0,83.0,65.0,56.0,9.0,11.0,11.0,12.0,8.0,46.0,43.0,58.0,60.0,64.0,23.0,59.0,78.0,79.0,74.0,71.0,31.0,92.0,64.0,38.0,37.0,75.0,64.0,Rafa,24,Portugal,ST RM LM
903,78,78,86.0,76.0,82.0,76.0,82.0,69.0,75.0,62.0,87.0,64.0,49.0,8.0,9.0,12.0,14.0,6.0,51.0,31.0,64.0,67.0,71.0,27.0,65.0,69.0,74.0,71.0,81.0,17.0,87.0,76.0,34.0,82.0,65.0,51.0,Y. Bolasie,28,DR Congo,LM ST RM
904,78,85,79.0,62.0,82.0,79.0,81.0,80.0,76.0,81.0,79.0,65.0,76.0,12.0,14.0,15.0,8.0,14.0,58.0,68.0,72.0,77.0,,58.0,66.0,75.0,75.0,78.0,,62.0,78.0,76.0,66.0,69.0,74.0,78.0,Bruno Fernandes,22,Portugal,CM CF CAM
905,78,78,71.0,71.0,67.0,74.0,80.0,82.0,70.0,45.0,74.0,73.0,59.0,10.0,8.0,8.0,12.0,9.0,68.0,74.0,80.0,75.0,77.0,77.0,75.0,75.0,76.0,80.0,85.0,74.0,68.0,80.0,78.0,71.0,75.0,65.0,D. Glushakov,30,Russia,CM CDM
906,78,78,76.0,68.0,76.0,70.0,80.0,68.0,81.0,64.0,71.0,57.0,60.0,13.0,9.0,13.0,10.0,14.0,69.0,78.0,74.0,67.0,80.0,72.0,59.0,69.0,73.0,72.0,79.0,75.0,81.0,88.0,74.0,73.0,63.0,53.0,Juanfran,28,Spain,RB
907,78,79,78.0,70.0,77.0,76.0,75.0,71.0,87.0,80.0,75.0,45.0,68.0,11.0,14.0,8.0,11.0,10.0,70.0,74.0,74.0,76.0,66.0,77.0,39.0,60.0,72.0,73.0,77.0,78.0,77.0,87.0,76.0,71.0,78.0,44.0,K. Trippier,26,England,RWB RB
908,78,79,61.0,72.0,63.0,70.0,77.0,80.0,65.0,73.0,74.0,57.0,58.0,13.0,11.0,16.0,6.0,6.0,73.0,80.0,73.0,78.0,54.0,71.0,56.0,67.0,77.0,80.0,70.0,76.0,,81.0,78.0,79.0,75.0,61.0,J. Cork,28,England,CM CDM
909,78,78,37.0,35.0,54.0,30.0,21.0,65.0,13.0,19.0,16.0,11.0,12.0,82.0,73.0,70.0,77.0,78.0,13.0,21.0,62.0,33.0,16.0,14.0,12.0,13.0,74.0,39.0,22.0,18.0,40.0,34.0,16.0,62.0,55.0,13.0,Guilherme,31,Russia,GK
910,78,78,77.0,58.0,75.0,68.0,75.0,78.0,68.0,68.0,74.0,78.0,48.0,9.0,14.0,13.0,14.0,6.0,86.0,43.0,91.0,55.0,64.0,23.0,72.0,78.0,77.0,69.0,76.0,28.0,83.0,73.0,33.0,76.0,65.0,73.0,A. Ramos,31,Colombia,RW ST
911,78,78,69.0,81.0,69.0,74.0,79.0,79.0,74.0,74.0,76.0,61.0,71.0,7.0,14.0,16.0,16.0,16.0,64.0,71.0,49.0,80.0,74.0,71.0,69.0,66.0,78.0,82.0,78.0,71.0,68.0,92.0,73.0,79.0,75.0,71.0,M. Bradley,29,United States,CM CDM
912,78,79,68.0,83.0,69.0,67.0,76.0,74.0,68.0,68.0,71.0,65.0,61.0,10.0,12.0,7.0,10.0,8.0,77.0,77.0,65.0,73.0,72.0,75.0,63.0,66.0,75.0,76.0,77.0,74.0,71.0,84.0,81.0,83.0,65.0,44.0,Souza,28,Brazil,CM CDM
913,78,78,64.0,72.0,68.0,61.0,80.0,75.0,68.0,74.0,71.0,66.0,79.0,13.0,12.0,9.0,13.0,15.0,68.0,75.0,69.0,79.0,75.0,71.0,75.0,68.0,74.0,79.0,78.0,73.0,62.0,79.0,76.0,73.0,78.0,67.0,T. Mangani,30,France,CM
914,78,85,75.0,76.0,61.0,63.0,72.0,65.0,54.0,43.0,65.0,50.0,35.0,7.0,15.0,10.0,15.0,13.0,80.0,79.0,55.0,67.0,55.0,78.0,39.0,62.0,73.0,77.0,66.0,76.0,78.0,82.0,79.0,78.0,72.0,48.0,N. Stark,22,Germany,CDM CB
915,78,78,84.0,85.0,77.0,83.0,78.0,76.0,79.0,75.0,77.0,49.0,51.0,14.0,7.0,6.0,12.0,8.0,62.0,75.0,81.0,69.0,66.0,75.0,58.0,77.0,77.0,76.0,72.0,,78.0,84.0,77.0,72.0,63.0,59.0,Rafael,26,Brazil,RB
916,78,83,70.0,41.0,75.0,75.0,80.0,72.0,79.0,76.0,81.0,72.0,58.0,12.0,15.0,16.0,9.0,6.0,34.0,40.0,60.0,78.0,66.0,36.0,69.0,74.0,76.0,81.0,63.0,39.0,70.0,66.0,43.0,55.0,77.0,71.0,Carles Gil,24,Spain,CAM RM
917,78,78,77.0,75.0,77.0,76.0,82.0,81.0,81.0,84.0,81.0,59.0,69.0,13.0,15.0,10.0,15.0,14.0,65.0,78.0,74.0,77.0,85.0,74.0,59.0,77.0,79.0,79.0,88.0,80.0,74.0,74.0,77.0,69.0,69.0,53.0,Adriano,32,Brazil,LM LB
918,78,79,66.0,79.0,66.0,72.0,65.0,71.0,67.0,38.0,63.0,27.0,31.0,15.0,7.0,12.0,10.0,14.0,77.0,77.0,91.0,65.0,39.0,78.0,36.0,30.0,74.0,61.0,60.0,78.0,66.0,79.0,77.0,83.0,50.0,29.0,B. Mee,27,England,CB
919,78,82,54.0,68.0,56.0,49.0,72.0,68.0,73.0,58.0,61.0,51.0,51.0,12.0,10.0,6.0,8.0,10.0,83.0,78.0,65.0,74.0,56.0,76.0,67.0,55.0,76.0,74.0,78.0,77.0,72.0,72.0,79.0,81.0,68.0,53.0,M. Ginter,23,Germany,CDM RB CB
920,78,82,67.0,71.0,54.0,53.0,65.0,67.0,36.0,33.0,60.0,25.0,29.0,14.0,8.0,11.0,12.0,7.0,77.0,79.0,87.0,49.0,29.0,78.0,45.0,30.0,76.0,69.0,61.0,76.0,68.0,75.0,81.0,83.0,41.0,36.0,Paulo Oliveira,26,Portugal,CB
921,78,78,64.0,68.0,67.0,64.0,78.0,79.0,59.0,72.0,79.0,79.0,73.0,12.0,7.0,5.0,10.0,12.0,77.0,29.0,78.0,69.0,75.0,29.0,71.0,80.0,77.0,76.0,82.0,26.0,65.0,66.0,40.0,73.0,74.0,75.0,C. Dempsey,34,United States,LM ST CF CAM
922,78,81,79.0,80.0,79.0,73.0,74.0,76.0,65.0,75.0,75.0,82.0,58.0,8.0,10.0,15.0,6.0,15.0,77.0,49.0,78.0,65.0,68.0,47.0,70.0,80.0,78.0,70.0,74.0,44.0,76.0,84.0,45.0,77.0,72.0,72.0,R. Funes Mori,26,Argentina,ST
923,78,85,85.0,69.0,85.0,78.0,83.0,77.0,78.0,69.0,85.0,63.0,52.0,13.0,15.0,10.0,13.0,9.0,65.0,75.0,67.0,68.0,61.0,68.0,58.0,74.0,78.0,79.0,58.0,74.0,84.0,79.0,74.0,66.0,79.0,59.0,M. Weiser,23,Germany,RM RB
924,77,77,84.0,65.0,55.0,55.0,69.0,79.0,56.0,59.0,73.0,74.0,67.0,8.0,11.0,20.0,19.0,20.0,77.0,32.0,84.0,47.0,76.0,28.0,74.0,73.0,83.0,63.0,84.0,24.0,81.0,56.0,27.0,87.0,58.0,76.0,H. Briceldo,25,Chile,CF ST
925,77,77,90.0,51.0,83.0,70.0,75.0,77.0,72.0,71.0,79.0,80.0,71.0,14.0,14.0,8.0,12.0,10.0,68.0,32.0,71.0,60.0,65.0,25.0,79.0,77.0,76.0,71.0,78.0,19.0,91.0,70.0,20.0,65.0,65.0,72.0,B. Moukandjo,28,Cameroon,RM ST
926,77,83,80.0,57.0,79.0,79.0,81.0,70.0,64.0,60.0,80.0,80.0,57.0,11.0,6.0,9.0,12.0,9.0,73.0,23.0,75.0,53.0,73.0,25.0,63.0,83.0,81.0,74.0,70.0,25.0,78.0,64.0,28.0,47.0,72.0,74.0,Juanmi,24,Spain,LM CAM ST
927,77,79,30.0,39.0,26.0,22.0,25.0,58.0,15.0,18.0,17.0,12.0,13.0,81.0,73.0,58.0,74.0,80.0,15.0,23.0,63.0,19.0,19.0,13.0,22.0,7.0,73.0,22.0,25.0,17.0,39.0,31.0,17.0,73.0,46.0,15.0,L. Kalinić,27,Croatia,GK
928,77,77,51.0,81.0,52.0,58.0,41.0,75.0,47.0,33.0,39.0,29.0,58.0,6.0,5.0,10.0,8.0,6.0,84.0,76.0,73.0,66.0,47.0,80.0,43.0,48.0,77.0,50.0,81.0,81.0,65.0,68.0,82.0,78.0,44.0,32.0,N. Subotić,28,Serbia,CB
929,77,78,67.0,47.0,79.0,60.0,75.0,79.0,55.0,55.0,65.0,82.0,54.0,13.0,10.0,15.0,15.0,15.0,80.0,41.0,82.0,63.0,72.0,33.0,78.0,83.0,78.0,69.0,75.0,27.0,65.0,74.0,30.0,64.0,43.0,77.0,N. Blandi,27,Argentina,ST
930,77,77,87.0,72.0,93.0,95.0,80.0,74.0,68.0,77.0,83.0,71.0,62.0,13.0,11.0,8.0,8.0,8.0,71.0,28.0,92.0,66.0,73.0,37.0,77.0,72.0,76.0,74.0,75.0,37.0,75.0,77.0,39.0,47.0,71.0,60.0,P. De Blasis,29,Argentina,ST RM LM
931,77,78,88.0,55.0,78.0,71.0,74.0,67.0,77.0,72.0,82.0,69.0,48.0,14.0,16.0,16.0,10.0,10.0,54.0,28.0,54.0,67.0,74.0,29.0,61.0,72.0,65.0,68.0,80.0,34.0,86.0,74.0,40.0,78.0,70.0,45.0,M. Phillips,26,Scotland,LM RM
932,77,80,82.0,75.0,86.0,76.0,77.0,77.0,71.0,71.0,76.0,77.0,75.0,14.0,13.0,11.0,7.0,8.0,66.0,31.0,84.0,65.0,70.0,32.0,73.0,81.0,72.0,77.0,77.0,26.0,86.0,81.0,30.0,77.0,73.0,73.0,M. Braithwaite,26,Denmark,CAM LM ST
933,77,89,48.0,20.0,55.0,53.0,10.0,45.0,13.0,13.0,14.0,6.0,12.0,78.0,77.0,71.0,76.0,79.0,13.0,17.0,73.0,38.0,9.0,5.0,16.0,4.0,64.0,52.0,23.0,12.0,45.0,40.0,14.0,70.0,45.0,9.0,A. Lafont,18,France,GK
934,77,82,63.0,64.0,68.0,55.0,77.0,67.0,49.0,45.0,67.0,44.0,36.0,8.0,14.0,12.0,7.0,8.0,79.0,79.0,70.0,68.0,47.0,79.0,48.0,44.0,73.0,79.0,49.0,81.0,66.0,68.0,76.0,69.0,52.0,37.0,D. Reyes,24,Mexico,CB
935,77,77,38.0,84.0,54.0,54.0,67.0,66.0,45.0,67.0,53.0,54.0,77.0,7.0,15.0,9.0,8.0,11.0,72.0,81.0,76.0,75.0,65.0,74.0,65.0,52.0,68.0,72.0,76.0,76.0,38.0,79.0,80.0,86.0,50.0,59.0,Iván Ramis,32,Spain,CB
936,77,77,63.0,90.0,70.0,67.0,74.0,76.0,69.0,70.0,69.0,56.0,69.0,12.0,11.0,7.0,15.0,11.0,68.0,75.0,70.0,72.0,69.0,69.0,72.0,63.0,77.0,75.0,76.0,78.0,63.0,77.0,78.0,77.0,73.0,69.0,V. Behrami,32,Switzerland,CM CDM
937,77,77,55.0,63.0,59.0,31.0,71.0,76.0,66.0,66.0,70.0,82.0,54.0,1.0,1.0,1.0,1.0,1.0,81.0,34.0,62.0,62.0,69.0,45.0,81.0,81.0,77.0,75.0,74.0,35.0,52.0,65.0,53.0,89.0,69.0,75.0,G. Hoarau,33,France,ST
938,77,77,74.0,60.0,80.0,75.0,79.0,75.0,80.0,79.0,79.0,64.0,78.0,12.0,9.0,8.0,15.0,15.0,56.0,61.0,67.0,69.0,74.0,51.0,70.0,73.0,78.0,78.0,76.0,55.0,71.0,72.0,58.0,61.0,77.0,69.0,T. Barnetta,32,Switzerland,CM CDM CAM
939,77,77,76.0,59.0,76.0,66.0,83.0,72.0,64.0,76.0,86.0,75.0,44.0,9.0,9.0,9.0,16.0,6.0,74.0,38.0,64.0,68.0,64.0,26.0,68.0,76.0,77.0,75.0,77.0,20.0,78.0,75.0,36.0,77.0,66.0,75.0,E. Choupo-Moting,28,Cameroon,ST LM
940,77,81,87.0,29.0,85.0,74.0,81.0,74.0,73.0,74.0,81.0,71.0,66.0,13.0,7.0,6.0,13.0,15.0,42.0,33.0,71.0,69.0,72.0,16.0,68.0,75.0,71.0,77.0,73.0,12.0,80.0,63.0,23.0,62.0,70.0,55.0,Jesé,24,Spain,ST LM
941,77,77,69.0,80.0,64.0,69.0,73.0,72.0,65.0,65.0,64.0,38.0,55.0,8.0,12.0,11.0,7.0,11.0,67.0,73.0,82.0,66.0,59.0,80.0,38.0,57.0,76.0,75.0,72.0,76.0,70.0,64.0,74.0,82.0,56.0,46.0,J. Pinola,34,Argentina,CB
942,77,78,71.0,68.0,69.0,68.0,73.0,69.0,69.0,58.0,59.0,37.0,42.0,8.0,7.0,11.0,8.0,9.0,69.0,82.0,82.0,71.0,55.0,76.0,54.0,55.0,77.0,74.0,70.0,81.0,72.0,81.0,78.0,76.0,55.0,53.0,Luís Hernández,28,Spain,RB CB
943,77,83,74.0,80.0,75.0,75.0,72.0,68.0,76.0,60.0,65.0,28.0,54.0,7.0,10.0,12.0,10.0,6.0,62.0,76.0,79.0,59.0,45.0,80.0,46.0,53.0,63.0,66.0,66.0,82.0,79.0,87.0,77.0,69.0,55.0,44.0,Jonny,23,Spain,RB LB
944,77,77,68.0,59.0,67.0,71.0,79.0,75.0,82.0,82.0,77.0,69.0,80.0,10.0,9.0,14.0,11.0,8.0,57.0,54.0,64.0,77.0,78.0,38.0,75.0,72.0,74.0,79.0,78.0,38.0,66.0,66.0,52.0,57.0,81.0,72.0,B. Dočkal,28,Czech Republic,CM CAM
945,77,77,41.0,34.0,34.0,41.0,21.0,67.0,10.0,9.0,9.0,8.0,18.0,77.0,75.0,74.0,76.0,76.0,11.0,23.0,67.0,16.0,7.0,12.0,14.0,27.0,77.0,18.0,21.0,13.0,42.0,29.0,17.0,79.0,71.0,8.0,Raphaelito Anjos,29,Brazil,GK
946,77,77,86.0,38.0,87.0,80.0,82.0,76.0,71.0,80.0,86.0,72.0,71.0,8.0,15.0,14.0,7.0,12.0,35.0,39.0,66.0,69.0,72.0,25.0,65.0,73.0,72.0,73.0,69.0,30.0,80.0,70.0,38.0,53.0,69.0,70.0,M. Carcela-González,28,Morocco,LM RM
947,77,77,67.0,60.0,65.0,59.0,74.0,73.0,33.0,49.0,66.0,83.0,28.0,15.0,6.0,12.0,14.0,9.0,82.0,24.0,82.0,36.0,56.0,20.0,64.0,80.0,76.0,64.0,80.0,17.0,67.0,69.0,21.0,85.0,52.0,80.0,L. Pavoletti,28,Italy,ST
948,77,77,36.0,83.0,38.0,52.0,51.0,79.0,58.0,38.0,41.0,23.0,29.0,3.0,3.0,3.0,3.0,3.0,74.0,81.0,76.0,61.0,53.0,81.0,49.0,27.0,69.0,56.0,60.0,78.0,33.0,34.0,81.0,79.0,41.0,19.0,D. Bonera,36,Italy,CB
949,77,77,69.0,73.0,65.0,68.0,60.0,76.0,37.0,35.0,41.0,24.0,27.0,6.0,16.0,6.0,10.0,8.0,80.0,77.0,90.0,51.0,22.0,76.0,42.0,24.0,76.0,65.0,39.0,78.0,70.0,70.0,81.0,72.0,38.0,28.0,Marcelo,27,Brazil,CB
950,77,84,91.0,76.0,83.0,68.0,75.0,69.0,77.0,68.0,79.0,59.0,47.0,7.0,11.0,7.0,9.0,9.0,60.0,71.0,59.0,69.0,61.0,73.0,42.0,77.0,76.0,74.0,72.0,74.0,91.0,82.0,75.0,67.0,66.0,52.0,Dalbert,23,Brazil,LM LWB LB
951,77,77,36.0,81.0,33.0,33.0,66.0,67.0,49.0,39.0,27.0,50.0,33.0,6.0,11.0,12.0,10.0,13.0,85.0,77.0,74.0,50.0,30.0,78.0,49.0,45.0,77.0,53.0,44.0,72.0,31.0,67.0,81.0,79.0,52.0,23.0,G. McAuley,37,Northern Ireland,CB
952,77,85,78.0,40.0,78.0,88.0,80.0,72.0,72.0,80.0,81.0,61.0,69.0,15.0,11.0,11.0,13.0,10.0,24.0,55.0,57.0,71.0,71.0,26.0,75.0,71.0,73.0,80.0,58.0,21.0,74.0,60.0,16.0,36.0,80.0,64.0,A. Halilović,21,Croatia,CM RM CAM
953,77,85,78.0,38.0,84.0,76.0,81.0,69.0,73.0,76.0,83.0,65.0,71.0,12.0,12.0,14.0,12.0,10.0,42.0,60.0,66.0,73.0,70.0,45.0,65.0,69.0,72.0,79.0,70.0,44.0,69.0,77.0,56.0,59.0,77.0,65.0,N. Amiri,20,Germany,LM CM CAM
954,77,77,80.0,73.0,74.0,60.0,79.0,72.0,69.0,67.0,74.0,72.0,76.0,14.0,7.0,7.0,15.0,8.0,66.0,49.0,62.0,74.0,72.0,39.0,71.0,76.0,74.0,76.0,79.0,44.0,78.0,75.0,51.0,68.0,75.0,66.0,I. Popov,29,Bulgaria,LM CAM
955,77,77,68.0,85.0,50.0,62.0,52.0,69.0,34.0,40.0,40.0,34.0,21.0,8.0,13.0,11.0,8.0,12.0,80.0,77.0,89.0,,23.0,79.0,41.0,25.0,71.0,54.0,24.0,78.0,55.0,55.0,79.0,76.0,38.0,19.0,N. Burdisso,36,Argentina,CB
956,77,77,65.0,39.0,79.0,88.0,82.0,73.0,76.0,65.0,82.0,67.0,67.0,13.0,7.0,16.0,11.0,16.0,43.0,35.0,33.0,76.0,68.0,28.0,77.0,74.0,71.0,78.0,71.0,36.0,59.0,62.0,54.0,53.0,81.0,62.0,W. Hoolahan,35,Republic of Ireland,LM CAM
957,77,77,72.0,77.0,51.0,55.0,71.0,67.0,71.0,81.0,72.0,56.0,77.0,11.0,15.0,8.0,7.0,7.0,62.0,76.0,61.0,77.0,72.0,77.0,67.0,52.0,81.0,75.0,73.0,76.0,72.0,76.0,76.0,88.0,72.0,45.0,Sidney Pessinho,25,Brazil,CM CDM
958,77,80,87.0,78.0,89.0,83.0,76.0,73.0,74.0,74.0,82.0,66.0,40.0,12.0,12.0,7.0,10.0,8.0,62.0,46.0,72.0,76.0,70.0,46.0,56.0,74.0,76.0,78.0,74.0,54.0,86.0,72.0,48.0,61.0,71.0,54.0,A. Potuk,26,Turkey,RM LM CAM
959,77,80,63.0,82.0,57.0,52.0,59.0,72.0,69.0,60.0,54.0,21.0,69.0,8.0,10.0,8.0,11.0,11.0,73.0,77.0,77.0,58.0,70.0,75.0,38.0,36.0,68.0,67.0,77.0,73.0,69.0,74.0,78.0,92.0,42.0,45.0,F. Pogba,26,Guinea,LB CB
960,77,77,45.0,39.0,40.0,40.0,20.0,60.0,14.0,13.0,16.0,11.0,16.0,77.0,76.0,64.0,79.0,78.0,10.0,20.0,70.0,23.0,10.0,11.0,23.0,13.0,71.0,23.0,25.0,19.0,45.0,38.0,18.0,70.0,40.0,11.0,M. Andújar,33,Argentina,GK
961,77,77,49.0,38.0,58.0,28.0,22.0,64.0,11.0,11.0,16.0,18.0,14.0,77.0,69.0,68.0,74.0,83.0,18.0,12.0,75.0,41.0,17.0,9.0,15.0,9.0,79.0,29.0,38.0,11.0,48.0,33.0,12.0,79.0,42.0,7.0,D. Boyko,29,Ukraine,GK
962,77,78,86.0,53.0,80.0,77.0,79.0,73.0,76.0,78.0,79.0,71.0,55.0,11.0,14.0,13.0,12.0,7.0,70.0,34.0,74.0,60.0,75.0,19.0,68.0,76.0,75.0,73.0,76.0,25.0,83.0,65.0,32.0,72.0,75.0,74.0,A. Carrillo,26,Peru,LM RM
963,77,77,44.0,78.0,59.0,55.0,55.0,74.0,22.0,31.0,49.0,16.0,18.0,12.0,11.0,5.0,5.0,14.0,76.0,78.0,85.0,55.0,24.0,80.0,34.0,33.0,68.0,55.0,59.0,78.0,65.0,42.0,82.0,81.0,28.0,23.0,M. Andreolli,31,Italy,CB
964,77,80,34.0,81.0,30.0,32.0,64.0,69.0,21.0,49.0,34.0,23.0,31.0,12.0,9.0,8.0,13.0,8.0,77.0,74.0,65.0,68.0,22.0,79.0,42.0,36.0,77.0,65.0,66.0,75.0,39.0,75.0,80.0,86.0,35.0,23.0,Bruno,27,Spain,CB
965,77,77,60.0,75.0,55.0,51.0,59.0,67.0,40.0,28.0,48.0,26.0,32.0,15.0,9.0,7.0,8.0,14.0,77.0,74.0,80.0,55.0,24.0,78.0,37.0,35.0,73.0,70.0,47.0,81.0,69.0,64.0,80.0,74.0,39.0,32.0,O. Duarte,28,Costa Rica,CDM CB
966,77,86,65.0,70.0,68.0,67.0,76.0,72.0,72.0,76.0,73.0,62.0,70.0,16.0,12.0,10.0,8.0,10.0,61.0,75.0,74.0,80.0,74.0,70.0,59.0,63.0,75.0,82.0,78.0,69.0,66.0,74.0,76.0,70.0,78.0,68.0,Rúben Neves,20,Portugal,CM CDM
967,77,80,67.0,58.0,70.0,64.0,80.0,71.0,61.0,71.0,72.0,73.0,57.0,8.0,10.0,9.0,8.0,13.0,64.0,69.0,65.0,72.0,77.0,57.0,54.0,80.0,78.0,78.0,71.0,67.0,65.0,68.0,73.0,66.0,77.0,54.0,Jozabed,26,Spain,CM CDM CAM
968,77,77,70.0,92.0,74.0,77.0,79.0,73.0,69.0,65.0,69.0,61.0,72.0,10.0,7.0,16.0,15.0,14.0,58.0,71.0,60.0,76.0,65.0,66.0,59.0,69.0,81.0,78.0,69.0,73.0,71.0,78.0,77.0,79.0,80.0,39.0,P. Pérez,31,Argentina,CM
969,77,77,81.0,96.0,67.0,66.0,72.0,77.0,76.0,81.0,71.0,54.0,77.0,9.0,16.0,8.0,8.0,10.0,77.0,67.0,72.0,67.0,77.0,77.0,77.0,57.0,72.0,77.0,84.0,75.0,82.0,89.0,77.0,82.0,56.0,71.0,Gazzolisco,29,Brazil,LM LB
970,77,81,48.0,27.0,62.0,51.0,14.0,27.0,12.0,20.0,13.0,16.0,20.0,77.0,73.0,63.0,80.0,76.0,10.0,26.0,72.0,25.0,15.0,13.0,23.0,14.0,76.0,23.0,21.0,13.0,44.0,43.0,16.0,64.0,45.0,13.0,Pacheco,25,Spain,GK
971,77,77,84.0,73.0,79.0,70.0,75.0,80.0,76.0,76.0,76.0,69.0,68.0,7.0,8.0,8.0,8.0,7.0,60.0,72.0,61.0,59.0,74.0,70.0,64.0,76.0,80.0,76.0,72.0,77.0,76.0,88.0,75.0,68.0,64.0,71.0,M. Gamonales,29,Chile,CM RM RB
972,77,77,88.0,68.0,86.0,90.0,71.0,76.0,76.0,54.0,76.0,45.0,49.0,13.0,13.0,16.0,8.0,9.0,60.0,71.0,59.0,59.0,68.0,68.0,49.0,69.0,80.0,73.0,78.0,76.0,86.0,82.0,77.0,33.0,68.0,55.0,Ronaldo Esler,29,Brazil,LM LB
